raw_persuasion_token	canonical_persuasion_slugs	canonical_persuasion_label	notes
Anglican	anglican	Anglican	
anti-Marcionite	proto-orthodox	Proto-Orthodox	
anti-Montanist	proto-orthodox	Proto-Orthodox	
Arian	arian	Arian	
Arian (dominant in region)	arian	Arian	
Arian (dominant under Constantius II)	arian	Arian	
Arian (dominant)	arian	Arian	
Arian (Eusebius)	arian	Arian	
Arian controversy beginning	arian	Arian	
Arian opposition	nicene	Nicene	
Arian-leaning	arian	Arian	
Armenian Apostolic Church (Oriental Orthodox)	miaphysite	Miaphysite	
Assyrian	church-of-the-east	Church of the East	
Assyrian Church of the East	church-of-the-east	Church of the East	
Bardaisanite	bardaisanite	Bardaisanite	
Bardaisanite (heterodox)	bardaisanite	Bardaisanite	
Bardesanite	bardaisanite	Bardaisanite	
Basilidean gnosticism	basilidean	Basilidean	
Basilidean gnosticism competing	basilidean	Basilidean	
Catholic	catholic	Catholic	
Catholic (Syro-Malabar; Syro-Malankara)	catholic	Catholic	
Chaldean Catholic	catholic	Catholic	
Church of the East	church-of-the-east	Church of the East	
Church of the East (suppressed)	church-of-the-east	Church of the East	
Church of the East / proto-orthodox	church-of-the-east;proto-orthodox	Church of the East / proto-orthodox	
Coptic Orthodox	miaphysite	Miaphysite	
Donatist	donatist	Donatist	
Donatist (dominant)	donatist	Donatist	
Donatist (North Africa)	donatist	Donatist	
Donatist (rival from 311)	donatist	Donatist	
Donatist (rival)	donatist	Donatist	
Donatist schism (311-312)	donatist	Donatist	
Donatist schism beginning	donatist	Donatist	
Donatist vs. proto-orthodox	donatist;proto-orthodox	Donatist vs. proto-orthodox	
Eastern Orthodox	orthodox	Orthodox	
Eastern Orthodox (Antioch)	orthodox	Orthodox	
Eastern Orthodox (Church of Cyprus)	orthodox	Orthodox	
Ethiopian Orthodox Tewahedo (later)	miaphysite	Miaphysite	
Eustathian ascetic	eustathian-ascetic	Eustathian Ascetic	
Georgian Orthodox Church	orthodox	Orthodox	
gnostic presence	gnostic	Gnostic	
gnostic schools	gnostic	Gnostic	
Greek Orthodox of Alexandria	orthodox	Orthodox	
Homoiousian (Semi-Arian)	homoiousian	Homoiousian (Semi-Arian)	
Indian Orthodox	orthodox	Orthodox	
Indian Orthodox (Malankara)	orthodox	Orthodox	
Jewish Christian	jewish-christian	Jewish Christian	
Jewish Christianity (trad.)	jewish-christian	Jewish Christian	
Jewish Christianity / proto-orthodox	jewish-christian;proto-orthodox	Jewish Christianity / proto-orthodox	
Marcionite (rival)	marcionite	Marcionite	
Maronite	maronite	Maronite	
Meletian schism	meletian-schism	Meletian Schism	
Monarchian	monarchian	Monarchian	
Montanist	montanist	Montanist	
Montanist (condemned)	montanist	Montanist	
Montanist (Tertullian)	montanist	Montanist	
Montanist influence	montanist	Montanist	
Nicene (majority at Nicaea)	nicene	Nicene	
Nicene minority	nicene	Nicene	
Nicene present	nicene	Nicene	
Nicene proto-orthodox	nicene	Nicene	
Nicene Syriac	nicene	Nicene	
Nicene vs. Arian contested	arian;nicene	Nicene vs. Arian contested	
Novatianist controversy	novatianist	Novatianist	
Novatianist minority	novatianist	Novatianist	
Novatianist schism	novatianist	Novatianist	
proto-orthodox	proto-orthodox	Proto-Orthodox	
proto-orthodox (contested)	proto-orthodox	Proto-Orthodox	
proto-orthodox (Quartodeciman)	proto-orthodox;quartodeciman	proto-orthodox (Quartodeciman)	
proto-orthodox / Church of the East	church-of-the-east;proto-orthodox	proto-orthodox / Church of the East	
proto-orthodox minority	proto-orthodox	Proto-Orthodox	
rigorist schism	novatianist	Novatianist	
Roman Catholic	catholic	Catholic	
Syriac Jewish Christian	jewish-christian	Jewish Christian	
Syriac Orthodox	miaphysite	Miaphysite	
Syriac proto-orthodox	proto-orthodox	Proto-Orthodox	
Syriac proto-orthodox (under persecution)	proto-orthodox	Proto-Orthodox	
Syrian Catholic	catholic	Catholic	
Syro-Malabar Catholic	catholic	Catholic	
