line	year_bucket	city_ancient	country_modern
148	0040	Cyprus / Salamis	Cyprus
149	0050	Cyprus / Salamis	Cyprus
150	0060	Cyprus / Salamis	Cyprus
151	0070	Cyprus / Salamis	Cyprus
152	0080	Cyprus / Salamis	Cyprus
153	0090	Cyprus / Salamis	Cyprus
154	0100	Cyprus / Salamis	Cyprus
155	0110	Cyprus / Salamis	Cyprus
156	0120	Cyprus / Salamis	Cyprus
157	0130	Cyprus / Salamis	Cyprus
158	0140	Cyprus / Salamis	Cyprus
159	0150	Cyprus / Salamis	Cyprus
160	0160	Cyprus / Salamis	Cyprus
161	0170	Cyprus / Salamis	Cyprus
162	0180	Cyprus / Salamis	Cyprus
163	0190	Cyprus / Salamis	Cyprus
164	0200	Cyprus / Salamis	Cyprus
165	0210	Cyprus / Salamis	Cyprus
166	0220	Cyprus / Salamis	Cyprus
167	0230	Cyprus / Salamis	Cyprus
168	0240	Cyprus / Salamis	Cyprus
169	0250	Cyprus / Salamis	Cyprus
170	0260	Cyprus / Salamis	Cyprus
171	0270	Cyprus / Salamis	Cyprus
172	0280	Cyprus / Salamis	Cyprus
173	0290	Cyprus / Salamis	Cyprus
174	0300	Cyprus / Salamis	Cyprus
175	0310	Cyprus / Salamis	Cyprus
176	0320	Cyprus / Salamis	Cyprus
177	0330	Cyprus / Salamis	Cyprus
178	0340	Cyprus / Salamis	Cyprus
179	0350	Cyprus / Salamis	Cyprus
667	0320	Byzantium / Constantinople	Türkiye
