ruling_empire_polity	polity_id_suggested	mentions
Roman Empire	roman-empire	3708
Chera Kingdom (Keralaputra)	chera-kingdom-keralaputra	23
Parthian Empire	parthian-empire	18
Sassanid Empire	sassanid-empire	16
Sasanian Empire	sasanian-empire	13
Kingdom of Armenia	kingdom-of-armenia	9
Kingdom of Iberia (Kartli)	kingdom-of-iberia-kartli	8
multiple local kingdoms	multiple-local-kingdoms	6
Nabataean Kingdom	nabataean-kingdom	6
Roman / Parthian border	roman-parthian-border	6
Kingdom of Aksum	kingdom-of-aksum	5
Parthian / Roman border	parthian-roman-border	5
Parthian / Sassanid Empire	parthian-sassanid-empire	5
Kingdom of Armenia (under Roman/Persian influence)	kingdom-of-armenia-under-roman-persian-influence	2
Sassanid Persian sphere	sassanid-persian-sphere	1
Sasanid Persian Empire	sasanid-persian-empire	1
Roman / Sassanid border	roman-sassanid-border	1
Palmyrene Empire	palmyrene-empire	1
Roman Empire (post-Zenobia)	roman-empire-post-zenobia	1
